ProjID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectYearStarted,ProjectYearEnded,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages
5,completed,,boston,,,j bradford jensen,the impact of geopolitical conflicts on trade growth and innovation,,RE,PB,WTO Working Papers,2004,7,,,
5,completed,,boston,,,j bradford jensen,quantifying the status of economies in international crop trade networks an correlation structure analysis of various node ranking metrics,,JO,PB,"Chaos, Solitons &amp; Fractals",2004,7,172,,113567
9,completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",washington,2001,2005,judith k hellerstein,barriers to integration physical boundaries and the spatial structure of residential segregation,,JO,PB,"Journal of Economics, Race, and Policy",2005,7,7,3,141-153
9,completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",washington,2001,2005,judith k hellerstein,a machine learning approach to improving occupational income scores,,JO,PB,Explorations in Economic History,2005,1,75,,101304
9,completed,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation",washington,2001,2005,judith k hellerstein,assessing statistical disclosure risk for differentially private hierarchical count data with application to the 2020 u s decennial census,,JO,PB,Statistica Sinica,2005,,,,
11,completed,,cmu,,,pinar celikkol geylani,being at the core firm product specialisation,,PO,PB,,2001,,,,
18,completed,Do Plants Change Their Productivity and Wage Rankings?,michigan,2006,2006,edith a wiarda,audit fees in auditor switching,,JO,PB,Indonesian Interdisciplinary Journal of Sharia Economics (IIJSE),2006,8,7,3,5350-5364
22,completed,,ucla,,,chad shirley,a duopoly preemption game with two alternative stochastic investment choices,,JO,PB,Afrika Matematika,2004,3,30,3-4,663-680
23,completed,,washington,,,david c ribar,online busy time scheduling with flexible jobs,,BO,PB,Lecture Notes in Computer Science,2001,,,,324-336
28,completed,,washington,,,jhih shyang shih,emission impossible balancing environmental concerns and inflation,,PO,PB,,2004,,,,
36,completed,,washington,,,catherine armington,product differentiation and geographical expansion of exports network at industry level,,JO,PB,Open Economies Review,2002,10,16,4,363-379
44,completed,,ucla,,,john mark ellis,can ethnic tolerance curb self reinforcing school segregation a theoretical agent based model,,JO,PB,Journal of Artificial Societies and Social Simulation,2004,,24,2,
51,completed,STUDIES TO ASSESS THE QUALITY AND IMPROVE THE RESULTS OF THE MEDICAL EXPENDITURE PANEL SURVEY-INSURANCE COMPONENT,washington,2000,2001,john p sommers,shifted windows transformers for medical image quality assessment,,BO,PB,Lecture Notes in Computer Science,2001,,,,425-435
54,completed,,boston,,,antoinette schoar,measuring the time varying market efficiency in the prewar and wartime japanese stock market 1924 1943,,JO,PB,Asia‐Pacific Economic History Review,2002,8,65,1,131-159
54,completed,,boston,,,antoinette schoar,balance growth and diversity of financial markets,,JO,PB,Annals of Finance,2002,9,4,3,369-397
56,completed,,boston,,,linda t bui,evaluating the impact of items and cooperation in inventory models with exemptable ordering costs,,PO,PB,,2004,,,,
56,completed,,boston,,,linda t bui,atlas x equity financing unlocking new methods to securely obfuscate axe inventory data based on differential privacy,,PR,PB,2021 7th International Conference on Big Data Computing and Communications (BigCom),2004,8,,,106-113
66,completed,,washington,,,jessica p vistnes,observation of bosonic coalescence and fermionic anti coalescence with indistinguishable photons,,PR,PB,SPIE Proceedings,2002,10,8832,,88321K
69,completed,Using the Economic Census to Study the Arts Sector,washington,2001,2002,thomas h pollak,register based census in thailand a case study in chachoengsao province,,JO,PB,Statistical Journal of the IAOS,2002,12,39,4,887-899
71,completed,Human Capital Externalities & the Investment Decision of US Manufacturing Firms,ucla,2002,2002,enrico moretti,the role of direct capital cash transfers towards poverty and extreme poverty alleviation an omega risk process,,JO,PB,Scandinavian Actuarial Journal,2002,2,2024,8,781-812
79,completed,What is the effect of the cultural environment on the local economy?,triangle,2001,2002,shauna m saunders,multiclass language identification using deep learning on spectral images of audio signals,,PR,PB,2021 IEEE 2nd International Conference on Pattern Recognition and Machine Learning (PRML),2002,7,,,214-218
81,completed,,washington,,,gale a boyd,dilepton production in high energy heavy ion collisions with 3 1d relativistic viscous hydrodynamics,,JO,PB,Nuclear Physics A,2001,5,904-905,,557c-560c
81,completed,,washington,,,gale a boyd,intermediate mass dileptons in relativistic nuclear collisions,,JO,PB,Nuclear Physics A,2001,2,783,1-4,351-358
82,completed,"Individual, Situational and Contextual Influences on Official Agency Contacts by Assault Victims:  Implications for Estimating Levels of Assaultive Violence",cmu,2001,2002,jacqueline cohen,hierarchical additive modeling of nonlinear association with spatial correlations an application to relate alcohol outlet density and neighborhood assault rates,,JO,PB,Statistics in Medicine,2002,4,28,14,1896-1912
82,completed,"Individual, Situational and Contextual Influences on Official Agency Contacts by Assault Victims:  Implications for Estimating Levels of Assaultive Violence",cmu,2001,2002,jacqueline cohen,distributional semantics approach to detect intent in twitter conversations on sexual assaults,,PR,PB,2018 IEEE/WIC/ACM International Conference on Web Intelligence (WI),2002,12,,,270-277
83,completed,,boston,,,stephen l ross,resilient urban housing markets shocks vs fundamentals,,BO,PB,"Risk, Systems and Decisions",2006,,,,299-331
83,completed,,boston,,,stephen l ross,matching with transfers under distributional constraints,,PO,PB,,2006,,,,
91,completed,,boston,,,wayne gray,essays on responsible and sustainable finance,,JO,PB,SSRN Electronic Journal,2005,,,,
92,completed,California Immigrant Families and Welfare Reform,berkeley,2002,2005,henry e brady,kicking you when you re already down the multipronged impact of austerity on crime,,JO,PB,Journal of the American Society of Nephrology,2005,11,34,11S,1126-1126
98,completed,Universities Impacts on Agricultural Biotechnology Innovations,berkeley,2001,2003,steven buccola,ara o ran end to end programmable o ran living lab for agriculture and rural communities,,PR,PB,IEEE INFOCOM 2024 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),2003,5,,,1-6
98,completed,Universities Impacts on Agricultural Biotechnology Innovations,berkeley,2001,2003,steven buccola,trends in open access academic outputs of state agricultural universities in india patterns from openalex,,PO,PB,,2003,8,,,
108,completed,BR98-10  The Causes and Consequences of Job Destruction,boston,1998,1998,robert k triest,a new type of multiverse g del theorems and the nonstandard logic of classical quantum mechanics and quantum gravity,,JO,PB,Astronomical Review,1998,4,7,2,36-52
108,completed,BR98-10  The Causes and Consequences of Job Destruction,boston,1998,1998,robert k triest,on the stochastic and asymptotic improvement of first come first served and nudge scheduling,,PR,PB,Abstract Proceedings of the 2023 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,1998,6,,,97-98
116,completed,WO00-01-02  Survival Rates of New Firms/Firm Life Cycles,washington,1999,1999,brian headd,the role of industry occupation and location specific knowledge in the survival of new firms,,RE,PB,,1999,7,,,
118,completed,,boston,,,lisa m lynch,the human capital accumulation at research infrastructures reexamining wage returns to training models interpretation and magnitude,,BO,PB,SpringerBriefs in Economics,2001,,,,51-58
118,completed,,boston,,,lisa m lynch,the wage transition in developed countries and its implications for china,,JO,PB,Physica A: Statistical Mechanics and its Applications,2001,3,470,,197-216
123,completed,,ucla,,,ann c schatzer,the minijpas survey quasar selection iii classification with artificial neural networks and hybridisation,,JO,PB,Astronomy &amp; Astrophysics,1999,5,673,,A103
125,completed,,washington,,,ann c schatzer,identification and estimation of demand models with endogenous product entry and exit,,JO,PB,SSRN Electronic Journal,2000,,,,
126,completed,,washington,,,ann c schatzer,the structure and incentives of a covid related emergency wage subsidy,,RE,PB,Motu Working Paper,1999,7,,,
127,completed,,washington,,,catherine armington,on estimating armington elasticities for japan s meat imports,,JO,PB,Journal of Agricultural Economics,1999,5,75,1,189-200
127,completed,,washington,,,catherine armington,identification of regulatory requirements relevant to business processes a comparative study on generative ai embedding based ranking crowd and expert driven methods,,BO,PB,Lecture Notes in Business Information Processing,1999,,,,166-182
128,completed,,boston,,,ann c schatzer,an algorithm to extract rules from artificial neural networks for medical diagnosis problems,,JO,PB,IETE Journal of Research,2000,,58,2,138
129,completed,,ucla,,,chad shirley,optimal ordering policies for multi echelon supply networks,,PR,PB,2022 IEEE 61st Conference on Decision and Control (CDC),1999,12,,,4539-4544
129,completed,,ucla,,,chad shirley,impact of carbon market on production emissions,,JO,PB,Nature Energy,1999,12,1,12,
137,completed,,washington,,,ann c schatzer,talent hoarding in organizations,,JO,PB,SSRN Electronic Journal,2002,,,,
137,completed,,washington,,,ann c schatzer,talents from abroad foreign managers and productivity in the united kingdom,,JO,PB,International Economics,2002,3,177,,100474
137,completed,,washington,,,ann c schatzer,developing talent from a supply demand perspective an optimization model for managers,,JO,PB,Logistics,2002,8,1,1,5
139,completed,,washington,,,thomas j holmes,the two component camassa holm equations ch 2 1 and ch 2 2 first order integrating factors and conservation laws,,JO,PB,Journal of Nonlinear Mathematical Physics,2000,,19,Supplement 1,13
146,completed,"""Estimating the Impact of Union Organization on Establishment Survival and Employment: Evidence from Census and Commercial Market Research Data""",berkeley,2002,2003,david s lee,ramsey numbers of cubes versus cliques,,JO,PB,Combinatorica,2003,11,36,1,37-70
152,completed,,washington,,,alicia p cackley,a simple combinatorial criterion for projective toric manifolds with dual defect,,JO,PB,Mathematical Research Letters,2002,,17,3,435-448
155,completed,,washington,,,robin m leichenko,asymmetric networks clientelism and their impacts households access to workfare employment in rural india,,JO,PB,Journal of Global Health,2003,7,8,2,
158,completed,Oil and Gas Involved Areas Along the U.S. Gulf Coast,washington,2002,2004,john j beggs,dynamical geography and transition paths of sargassum in the tropical atlantic,,JO,PB,AIP Advances,2004,10,12,10,
160,completed,Studies of Homelessness using the National Survey of Homeless Assistance Providers and Clients,berkeley,2001,2001,dirk w early,preventing eviction caused homelessness through ml informed distribution of rental assistance,,JO,PB,Proceedings of the AAAI Conference on Artificial Intelligence,2001,3,38,20,22393-22400
161,completed,,cmu,,,robert t greenbaum,are the spatial concentrations of core city and suburban poverty converging in the rust belt,,OT,PB,The Wiley Blackwell Encyclopedia of Urban and Regional Studies,2002,4,,,1-6
161,completed,,cmu,,,robert t greenbaum,small cities face greater impact from automation,,JO,PB,Journal of The Royal Society Interface,2002,2,15,139,20170946
162,completed,,washington,,,michael e ollinger,an empirical study on llm based classification of requirements related provisions in food safety regulations,,JO,PB,Empirical Software Engineering,2007,2,30,3,
163,completed,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor,washington,2005,2006,mary e farrell,u s long term earnings outcomes by sex race ethnicity and place of birth,,JO,PB,Quantitative Economics,2006,,13,4,1879-1945
163,completed,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor,washington,2005,2006,mary e farrell,personalized food image classification benchmark datasets and new baseline,,PR,PB,"2023 57th Asilomar Conference on Signals, Systems, and Computers",2006,10,,,1095-1099
171,completed,,washington,,,william h carter,three approaches to the automation of laser system alignment and their resource implications a case study,,PR,PB,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),2005,8,,,296-303
192,completed,,ucla,,,john r logan,tripartite vector representations for better job recommendation,,PR,PB,2022 IEEE International Conference on Big Data (Big Data),2003,12,,,2182-2185
194,completed,,chicago,,,eric p baumer,estimating the likelihood of arrest from police records in presence of unreported crimes,,JO,PB,The Annals of Applied Statistics,2003,6,18,2,
194,completed,,chicago,,,eric p baumer,bayesian models to adjust for response bias in survey data for estimating rape and domestic violence rates from the ncvs,,JO,PB,The Annals of Applied Statistics,2003,6,2,2,
215,completed,An Evaluation of Structural Change in U.S. Dairy Processing:  Plant Level Analyses of the Production of Manufactured Dairy Products,chicago,2002,2004,brian w gould,on the joint volatility dynamics in dairy markets,,JO,PB,Australian Journal of Agricultural and Resource Economics,2004,5,65,3,704-728
221,completed,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000",triangle,2002,2005,jacob vigdor,mobility and transit segregation in urban spaces,,JO,PB,Environment and Planning B: Urban Analytics and City Science,2005,11,51,7,1496-1512
244,completed,Variation in Export Activity Across U.S. Manufacturing Establishments,washington,2003,2004,charles i mead,trade trees and lives,,RE,PB,,2004,11,,,
246,completed,Diversification discount or premium? New evidence from BITS establishment-level data,boston,2002,2003,belen villalonga,a method for investigating relative timing information on phylogenetic trees,,JO,PB,Systematic Biology,2003,4,58,2,167-183
247,completed,Regulating Pollution Through Information Disclosure:  Facility Response to the Toxics Release Inventory,triangle,2004,2007,lori s bennear,encouraging emotion regulation in social media conversations through self reflection,,PO,PB,,2007,,,,
248,completed,Seasonality of Transportation Data in the American Community Survey,washington,2002,2003,emily parkany,a bayesian hierarchical small area population model accounting for data source specific methodologies from american community survey population estimates program and decennial census data,,JO,PB,The Annals of Applied Statistics,2003,6,18,2,
248,completed,Seasonality of Transportation Data in the American Community Survey,washington,2002,2003,emily parkany,multidimensional well being of us households at a fine spatial scale using fused household surveys fusionacs,,JO,PB,Scientific Data,2003,1,11,1,
248,completed,Seasonality of Transportation Data in the American Community Survey,washington,2002,2003,emily parkany,the effect of remote work on urban transportation emissions evidence from 141 cities,,JO,PB,Transportation Research Interdisciplinary Perspectives,2003,5,31,,101422
249,completed,Neighborhood Specific Risk and Lending Decision,washington,2002,2002,christian a hilber,short selling with margin risk and recall risk,,JO,PB,International Journal of Theoretical and Applied Finance,2002,2,25,02,
253,completed,Mileage Calculations for 2002 Commodity Flow Survey (CFS),washington,2002,2003,michael j margreta,improving the accuracy of freight mode choice models a case study using the 2017 cfs puf data set and ensemble learning techniques,,JO,PB,Expert Systems with Applications,2003,4,240,,122478
253,completed,Mileage Calculations for 2002 Commodity Flow Survey (CFS),washington,2002,2003,michael j margreta,modeling freight mode choice using machine learning classifiers a comparative study using the commodity flow survey cfs data,,JO,PB,Transportation Planning and Technology,2003,5,44,5,543-559
255,completed,Reaching the Uninsured Through the Individual Market for Health Insurance,washington,2003,2004,susan marquis,price impact of health insurance,,RE,PB,Encyclopedia of Health Care Management,2004,,,,
258,completed,A Study of the Annual Capital Expenditures Survey Data,berkeley,2003,2003,daniel j wilson,modelling income wealth and expenditure data by use of econophysics,,MO,PB,,2003,3,,,
263,completed,,washington,,,jessica p vistnes,ins mmbench a comprehensive benchmark for evaluating lvlms performance in insurance,,PR,PB,Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining,2005,2,,,1128-1131
265,completed,Measurement and Analysis of Diversification,washington,2003,2005,namsuk kim,a return diversification approach to portfolio selection,,JO,PB,SSRN Electronic Journal,2005,,,,
267,completed,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey,berkeley,2003,2004,debbie a niemeier,community based behavioral understanding of crisis activity concerns using social media data a study on the 2023 canadian wildfires in new york city,,JO,PB,Journal of Transport and Land Use,2004,10,12,1,
267,completed,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey,berkeley,2003,2004,debbie a niemeier,workplace breastfeeding legislation and female labor force participation in the united states,,DA,PB,ICPSR Data Holdings,2004,12,,,
270,completed,Import Competition for Domestic Producers:  Denim Cloth and Apparel,triangle,2003,2005,patrick j conway,indofashion apparel classification for indian ethnic clothes,,PR,PB,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2005,6,,,3930-3934
272,completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,boston,2004,2007,michael greenstone,evaluation of the impact of low emission zone madrid central as a case study,,JO,PB,Sustainability,2007,3,13,6,3251
272,completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,boston,2004,2007,michael greenstone,effects of the covid 19 lockdown on urban light emissions ground and satellite comparison,,PO,PB,,2007,11,,,
277,completed,,chicago,,,chad w syverson,integrated reference cavity for dual mode optical thermometry and frequency stabilization,,JO,PB,Optica,2005,11,8,11,1481
282,completed,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series,washington,2002,2003,rick boden,scientific talent leaks out of funding gaps,,JO,PB,Electronic Notes in Theoretical Computer Science,2003,5,153,2,241-257
282,completed,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series,washington,2002,2003,rick boden,the census stub graph invariant descriptor,,JO,PB,IEEE Transactions on Visualization and Computer Graphics,2003,3,31,3,1945-1961
282,completed,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series,washington,2002,2003,rick boden,the 2020 united states decennial census is more private than you might think,,JO,PB,Journal of Applied Corporate Finance,2003,9,22,4,75-85
282,completed,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series,washington,2002,2003,rick boden,differential privacy in the 2020 decennial census and the implications for available data products,,JO,PB,SSRN Electronic Journal,2003,,,,
289,completed,,michigan,,,yoonsoo lee,idle vehicle relocation strategy through deep learning for shared autonomous electric vehicle system optimization,,JO,PB,Journal of Cleaner Production,2008,1,333,,130055
297,completed,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data,cmu,2002,2005,dennis epple,interpolating population distributions using public use data an application to income segregation using american community survey data,,JO,PB,Journal of the American Statistical Association,2005,11,118,541,84-96
297,completed,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data,cmu,2002,2005,dennis epple,addressing census data problems in race imputation via fully bayesian improved surname geocoding and name supplements,,JO,PB,Science Advances,2005,12,8,49,
299,completed,,chicago,,,bhashkar mazumder,are high school degrees and university diplomas equally heritable in the us a new measure of relative intergenerational mobility,,JO,PB,Journal of Applied Economics,2011,12,28,1,
305,completed,The Determinants of Industrial Location,boston,2002,2004,glenn ellison,an outlier resistant indicator of anomalies among inter laboratory comparison data with associated uncertainty,,JO,PB,Metrologia,2004,11,55,6,840-854
